DEPARTAMENTO|SECRETARIA DEPARTAMENTAL DE SALUD
ALCALA|HOSPITAL SAN VICENTE DE PAUL
ANDALUCIA|HOSPITAL SAN VICENTE FERRER
ANSERMANUEVO|HOSPITAL SANTA ANA DE LOS CABALLEROS
ARGELIA|HOSPITAL PIO XII
BOLIVAR|HOSPITAL SANTA ANA E.S.E.
GUADALAJARA DE BUGA|SECRETARIA DE SALUD MUNICIPAL
GUADALAJARA DE BUGA|COMFANDI
GUADALAJARA DE BUGA|E.S.E HOSPITAL DIVINO NIO
GUADALAJARA DE BUGA|ASISTENCIA EN SERVICIOS  - ASI
GUADALAJARA DE BUGA|FUNDACION HOSPITAL SAN JOSE
BUGALAGRANDE|HOSPITAL SAN BERNABE E.S.E.
BUGALAGRANDE|HOSPITAL SAN BERNABE E.S.E.  (CEILAN)
CAICEDONIA|HOSPITAL SANTANDER E.S.E
CAICEDONIA|CORPORACION IPS EJE CAFETERO
CANDELARIA|ESE HOSPITAL LOCAL
CANDELARIA|IPS COMFANDI
CARTAGO|COMFANDI
CARTAGO|IPS MUNICIPAL
CARTAGO|ESTABLECIMIENTO SANIDAD POLICIA CARTAGO
CARTAGO|CUARTO FRIO
CARTAGO|MI IPS
CARTAGO|IDIME
CARTAGO|IPS H&L SALUD SAS
CARTAGO|MEDICAL HEALTH CARE IPS
DAGUA|HOSPITAL LOCAL JOSE RUFINO VIVAS
DAGUA|PUESTO DE SALUD EL QUEREMAL
DAGUA|PUESTO DE SALUD BORRERO AYERBE
EL AGUILA|HOSPITAL SAN RAFAEL
EL CAIRO|HOSPITAL SANTA CATALINA
EL CERRITO|HOSPITAL SAN RAFAEL
EL CERRITO|PUESTO DE SALUD EL CASTILLO
EL CERRITO|PUESTO DE SALUD DE TENERIFE
EL CERRITO|PUESTO DE SALUD SANTA ELENA
EL CERRITO|PUESTO DE SALUD EL PLACER
CALIMA DARIEN|HOSPITAL SAN JORGE
EL DOVIO|HOSPITAL SANTA LUCIA
FLORIDA|HOSPITAL BENJAMêN BARNEY GASCA
GINEBRA|HOSPITAL DEL ROSARIO E.S.E.
GUACARI|HOSPITAL SAN ROQUE
JAMUNDI|HOSPITAL PILOTO JAMUNDI
JAMUNDI|CENTRO MEDICO JAMUNDI SA
JAMUNDI|CORPORACIîN IPS DE OCCIDENTE
JAMUNDI|SECRETARIA DE SALUD
LA CUMBRE|HOSPITAL SANTA MARGARITA
LA UNION|HOSPITAL GONZALO CONTRERAS
LA VICTORIA|HOSPITAL NUESTRA SEORA DE LOS SANTOS
OBANDO|HOSPITAL LOCAL DE OBANDO
PALMIRA|SINERGIA GLOBAL SALUD
PALMIRA|SERVICIOS INTEGRADOS DE SALUD LIMITADA
PALMIRA|CLINICA PALMA REAL
PALMIRA|CEC SANTA HELENA LTDA
PALMIRA|HOSPITAL RAòL OREJUELA BUENO
PALMIRA|CLINICA COMFANDI PALMIRA
PALMIRA|SANIDAD PALMIRA
PALMIRA|ENDOSALUD DE OCCIDENTE
PALMIRA|SINERGIA GLOBAL UIS COOMEVA  PALMIRA
PALMIRA|CLINICA PALMIRA S.A
PALMIRA|ASISTENCIA EN SERVICIOS DE SALUD INTEGRALES S.A.
PALMIRA|SECRETARIA DE SALUD MUNICIPAL
PRADERA|HOSPITAL SAN ROQUE
RESTREPO|HOSPITAL SAN JOSE
RIOFRIO|HOSPITAL KENNEDY ESE
ROLDANILLO|HOSPITAL DEPARTAMENTAL SAN ANTONIO
SAN PEDRO|HOSPITAL ULPIANO TASCON QUINTERO
SEVILLA|HOSPITAL DEPARTAMENTAL CENTERNARIO
TORO|HOSPITAL SAGRADA FAMILIA
TRUJILLO|HOSPITAL SANTA CRUZ
TULUA|HOSPITAL RUBEN CRUZ VELEZ
TULUA|HOSPITAL DEPARTAMENTAL TOMAS URIBE URIBE
TULUA|MI IPS (SALUDCOOP)
TULUA|CRUZ ROJA COLOMBIANA
TULUA|ASI NUEVA EPS
TULUA|IPS COMFANDI
TULUA|SINERGIA GLOBAL
TULUA|PILICIA NACIONAL
TULUA|PONAL POLICIA NACIONAL
TULUA|CAVA MUNICIPAL
TULUA|CLINICA ORIENTE
TULUA|CLINICA MARIANGEL
ULLOA|HOSPITAL LOCAL PEDRO SAENZ DIAZ
VERSALLES|HOSPITAL SAN NICOLAS
VIJES|HOSPITAL LOCAL DE VIJES
YOTOCO|HOSPITAL LOCAL
YUMBO|HOSPITAL LA BUENA ESPERANZA
YUMBO|PUESTO DE SALUD DE LLERAS
YUMBO|PUESTO DE SALUD AMERICAS
YUMBO|COMFANDI YUMBO
YUMBO|ASISTENCIA EN SERVICIOS DE SALUD INTEGRALES S.A
ZARZAL|HOSPITAL DEPARTAMENTAL SAN RAFAEL
ZARZAL|PUESTO DE SALUD LIMONES
ZARZAL|PUESTO DE SALUD QUEBRADA NUEVA
ZARZAL|PUESTO DE SALUD VALLEJUELO
ZARZAL|CENTRO DE SALUD ALIZAL - GUASIMAL
ZARZAL|CENTRO DE SALUD LA PAILA
ZARZAL|PUESTO DE SALUD BARRIO BOLIVAR
ZARZAL|FUNDACION MEJORAR
ZARZAL|CENTRO INTEGRAL DE PROFESIONALES CIP IPS
